NLL Top-K (k=1):	['7.029', '5.767', '8.181', '4.298', '8.845', '9.321', '11.861', '3.407']
NLL All Masked:		['7.493', '7.088', '7.610', '7.252', '7.298', '7.376', '7.361', '7.446']

NLL Top-K (k=1):	['7.819', '3.989', '6.981', '1.651', '2.997', '7.989', '10.712', '4.928']
NLL All Masked:		['7.512', '7.055', '7.600', '7.313', '7.259', '7.258', '7.340', '7.437']

NLL Top-K (k=1):	['0.904', '2.661', '1.324', '3.143', '1.420', '2.431', '3.415', '0.846']
NLL All Masked:		['7.466', '7.056', '7.617', '7.302', '7.239', '7.238', '7.320', '7.469']

NLL Top-K (k=1):	['3.024', '6.595', '1.794', '5.043', '5.441', '3.220', '7.170', '3.052']
NLL All Masked:		['7.482', '7.058', '7.612', '7.301', '7.276', '7.242', '7.338', '7.512']

NLL Top-K (k=1):	['3.291', '15.652', '7.882', '3.057', '8.268', '4.963', '10.211', '4.663']
NLL All Masked:		['7.453', '7.053', '7.608', '7.234', '7.225', '7.237', '7.315', '7.510']

NLL Top-K (k=1):	['5.245', '1.904', '9.829', '7.392', '3.495', '0.870', '4.988', '3.306']
NLL All Masked:		['7.434', '7.038', '7.616', '7.255', '7.220', '7.212', '7.312', '7.510']

NLL Top-K (k=1):	['9.063', '0.184', '2.830', '0.276', '0.023', '5.060', '9.406', '2.359']
NLL All Masked:		['7.441', '7.042', '7.612', '7.253', '7.235', '7.218', '7.309', '7.504']

NLL Top-K (k=1):	['4.108', '8.492', '8.460', '4.608', '2.237', '3.303', '4.281', '6.269']
NLL All Masked:		['7.452', '7.060', '7.618', '7.245', '7.239', '7.228', '7.304', '7.509']

NLL Top-K (k=1):	['3.772', '11.099', '3.444', '0.034', '5.672', '3.008', '3.376', '2.592']
NLL All Masked:		['7.451', '7.070', '7.615', '7.219', '7.239', '7.227', '7.302', '7.538']

NLL Top-K (k=1):	['6.860', '4.728', '13.259', '0.482', '5.565', '8.988', '2.712', '1.546']
NLL All Masked:		['7.444', '7.064', '7.623', '7.222', '7.251', '7.216', '7.306', '7.537']

NLL Top-K (k=1):	['7.872', '2.794', '4.412', '0.026', '3.140', '3.347', '7.380', '7.007']
NLL All Masked:		['7.435', '7.048', '7.611', '7.227', '7.251', '7.215', '7.307', '7.538']

NLL Top-K (k=1):	['1.272', '1.270', '10.615', '0.014', '1.140', '0.413', '7.132', '0.110']
NLL All Masked:		['7.449', '7.043', '7.609', '7.238', '7.247', '7.212', '7.300', '7.538']

NLL Top-K (k=1):	['5.509', '7.357', '0.045', '0.025', '2.343', '4.965', '2.308', '0.019']
NLL All Masked:		['7.445', '7.049', '7.602', '7.243', '7.253', '7.199', '7.290', '7.564']

NLL Top-K (k=1):	['0.870', '8.746', '0.412', '2.809', '3.851', '0.664', '4.558', '6.705']
NLL All Masked:		['7.469', '7.054', '7.605', '7.232', '7.252', '7.186', '7.290', '7.566']

NLL Top-K (k=1):	['3.047', '0.919', '4.137', '0.944', '8.346', '10.580', '0.446', '4.560']
NLL All Masked:		['7.472', '7.046', '7.608', '7.240', '7.261', '7.192', '7.293', '7.590']

NLL Top-K (k=1):	['3.003', '1.098', '2.675', '0.980', '2.959', '1.260', '4.582', '1.617']
