A newer version of lightning is available (2.5.6). Would you like to upgrade? [Y/n]: Outputs will be saved to models/mdm_safetensors/mdm-85M-6e18
{'model_name': 'Diff_LLaMA_85M', 'num_of_devices': 1, 'global_batch_size': 256, 'learning_rate': 0.0002, 'micro_batch_size': 8, 'max_step': 22383, 'warmup_steps': 223, 'log_step_interval': 10, 'eval_iters': 400, 'save_step_interval': 5000, 'eval_step_interval': 999999999999, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 2e-05, 'batch_size': 256, 'gradient_accumulation_steps': 32, 'warmup_iters': 7136, 'max_iters': 716256, 'lr_decay_iters': 716256, 'log_iter_interval': 320}
Creating dataset from 252 files at data/slim_pajama/tokenized with prefix validation for split validation
Loading model with {'org': 'Lightning-AI', 'name': 'Diff_LLaMA_85M', 'block_size': 2048, 'vocab_size': 32000, 'padding_multiple': 64, 'padded_vocab_size': 32000, 'n_layer': 13, 'n_head': 10, 'n_embd': 640, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': False, 'n_query_groups': 10, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 2560, 'condense_ratio': 1}
Time to instantiate model: 0.18 seconds.
Total parameters 126,174,720
Loading checkpoint from models/mdm_safetensors/mdm-85M-6e18/mdm-85M-6e18.safetensors
Validating ...
Val iter 0000:	NLL Bound 3.9769,	NLL Uniform 3.7927,	NLL Greedy 3.4337	NLL Block Greedy 3.6139	Counted Samples 1.0
Val iter 0001:	NLL Bound 4.0045,	NLL Uniform 3.7375,	NLL Greedy 3.3884	NLL Block Greedy 3.5656	Counted Samples 2.0
Val iter 0002:	NLL Bound 3.9846,	NLL Uniform 3.7941,	NLL Greedy 3.4651	NLL Block Greedy 3.6282	Counted Samples 3.0
Val iter 0003:	NLL Bound 3.8748,	NLL Uniform 3.7109,	NLL Greedy 3.3890	NLL Block Greedy 3.5472	Counted Samples 4.0
Val iter 0004:	NLL Bound 3.7662,	NLL Uniform 3.6670,	NLL Greedy 3.3608	NLL Block Greedy 3.5052	Counted Samples 5.0
Val iter 0005:	NLL Bound 3.6840,	NLL Uniform 3.6233,	NLL Greedy 3.3099	NLL Block Greedy 3.4562	Counted Samples 6.0
Val iter 0006:	NLL Bound 3.6775,	NLL Uniform 3.6092,	NLL Greedy 3.2923	NLL Block Greedy 3.4408	Counted Samples 7.0
Val iter 0007:	NLL Bound 3.6119,	NLL Uniform 3.5548,	NLL Greedy 3.2235	NLL Block Greedy 3.3765	Counted Samples 8.0
Val iter 0008:	NLL Bound 3.5585,	NLL Uniform 3.5244,	NLL Greedy 3.1763	NLL Block Greedy 3.3290	Counted Samples 9.0
Val iter 0009:	NLL Bound 3.5502,	NLL Uniform 3.5163,	NLL Greedy 3.1589	NLL Block Greedy 3.3143	Counted Samples 10.0
Val iter 0010:	NLL Bound 3.5598,	NLL Uniform 3.5287,	NLL Greedy 3.1728	NLL Block Greedy 3.3309	Counted Samples 11.0
Val iter 0011:	NLL Bound 3.5494,	NLL Uniform 3.5302,	NLL Greedy 3.1763	NLL Block Greedy 3.3325	Counted Samples 12.0
Val iter 0012:	NLL Bound 3.5447,	NLL Uniform 3.5349,	NLL Greedy 3.1846	NLL Block Greedy 3.3391	Counted Samples 13.0
Val iter 0013:	NLL Bound 3.5605,	NLL Uniform 3.5463,	NLL Greedy 3.1962	NLL Block Greedy 3.3537	Counted Samples 14.0
Val iter 0014:	NLL Bound 3.5708,	NLL Uniform 3.5694,	NLL Greedy 3.2215	NLL Block Greedy 3.3796	Counted Samples 15.0
Val iter 0015:	NLL Bound 3.5910,	NLL Uniform 3.5863,	NLL Greedy 3.2422	NLL Block Greedy 3.3968	Counted Samples 16.0
Val iter 0016:	NLL Bound 3.6154,	NLL Uniform 3.5933,	NLL Greedy 3.2467	NLL Block Greedy 3.4037	Counted Samples 17.0
Val iter 0017:	NLL Bound 3.6186,	NLL Uniform 3.5912,	NLL Greedy 3.2471	NLL Block Greedy 3.4022	Counted Samples 18.0
Val iter 0018:	NLL Bound 3.6248,	NLL Uniform 3.6012,	NLL Greedy 3.2604	NLL Block Greedy 3.4155	Counted Samples 19.0
Val iter 0019:	NLL Bound 3.6441,	NLL Uniform 3.6209,	NLL Greedy 3.2849	NLL Block Greedy 3.4365	Counted Samples 20.0
Val iter 0020:	NLL Bound 3.6321,	NLL Uniform 3.6140,	NLL Greedy 3.2750	NLL Block Greedy 3.4282	Counted Samples 21.0
