A newer version of lightning is available (2.5.5). Would you like to upgrade? [Y/n]: Outputs will be saved to models/mdm_safetensors/mdm-85M-6e18
{'model_name': 'Diff_LLaMA_85M', 'num_of_devices': 1, 'global_batch_size': 256, 'learning_rate': 0.0002, 'micro_batch_size': 8, 'max_step': 22383, 'warmup_steps': 223, 'log_step_interval': 10, 'eval_iters': 400, 'save_step_interval': 5000, 'eval_step_interval': 999999999999, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 2e-05, 'batch_size': 256, 'gradient_accumulation_steps': 32, 'warmup_iters': 7136, 'max_iters': 716256, 'lr_decay_iters': 716256, 'log_iter_interval': 320}
Creating dataset from 252 files at data/slim_pajama/tokenized with prefix validation for split validation
Loading model with {'org': 'Lightning-AI', 'name': 'Diff_LLaMA_85M', 'block_size': 2048, 'vocab_size': 32000, 'padding_multiple': 64, 'padded_vocab_size': 32000, 'n_layer': 13, 'n_head': 10, 'n_embd': 640, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': False, 'n_query_groups': 10, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 2560, 'condense_ratio': 1}
Time to instantiate model: 0.18 seconds.
Total parameters 126,174,720
Loading checkpoint from models/mdm_safetensors/mdm-85M-6e18/mdm-85M-6e18.safetensors
Validating ...
Val iter 0:	NLL Bound 3.5120,	Exact NLL 3.5052	Diff: 0.0067
Val iter 1:	NLL Bound 3.5263,	Exact NLL 3.5671	Diff: -0.0408
Val iter 2:	NLL Bound 3.6428,	Exact NLL 3.6126	Diff: 0.0303
Val iter 3:	NLL Bound 3.6147,	Exact NLL 3.5536	Diff: 0.0611
Val iter 4:	NLL Bound 3.5304,	Exact NLL 3.4365	Diff: 0.0939
Val iter 5:	NLL Bound 3.4719,	Exact NLL 3.3372	Diff: 0.1347
Val iter 6:	NLL Bound 3.5217,	Exact NLL 3.4706	Diff: 0.0511
Val iter 7:	NLL Bound 3.3623,	Exact NLL 3.3828	Diff: -0.0205
Val iter 8:	NLL Bound 3.3504,	Exact NLL 3.3772	Diff: -0.0267
Val iter 9:	NLL Bound 3.3183,	Exact NLL 3.2808	Diff: 0.0375
Val iter 10:	NLL Bound 3.9234,	Exact NLL 3.8521	Diff: 0.0713
Val iter 11:	NLL Bound 3.4034,	Exact NLL 3.3435	Diff: 0.0599
Val iter 12:	NLL Bound 2.6922,	Exact NLL 2.6184	Diff: 0.0738
Val iter 13:	NLL Bound 3.6939,	Exact NLL 3.5678	Diff: 0.1261
Val iter 14:	NLL Bound 3.6029,	Exact NLL 3.6372	Diff: -0.0343
Val iter 15:	NLL Bound 3.3326,	Exact NLL 3.2501	Diff: 0.0825
Val iter 16:	NLL Bound 3.5402,	Exact NLL 3.4587	Diff: 0.0815
Val iter 17:	NLL Bound 3.2503,	Exact NLL 3.2615	Diff: -0.0112
Val iter 18:	NLL Bound 3.5831,	Exact NLL 3.4788	Diff: 0.1043
